type	latitude	longitude	altitude (m)	name	desc
T	20.909226047	79.069186877	263.1		
T	20.930254726	79.158778210	305.5		
T	20.951129617	79.192616142	319.3		
T	20.961672749	79.248669401	322.8		
T	20.982673506	79.338500266	281.6		
T	21.014044605	79.439789444	259.8		
T	21.056040838	79.597767534	248.2		
T	21.076972661	79.654394124	258.4		
T	21.087409528	79.665853344	260.0		
T	21.118824204	79.745330833	268.6		
T	21.129331705	79.801890411	288.9		
T	21.160934841	79.949481265	264.8		
T	21.192453038	80.074744892	284.5		
T	21.213523333	80.200052807	293.9		
T	21.171712172	80.232969426	313.8		
T	21.129834271	80.254425891	321.7		
T	21.067075260	80.252645292	294.0		
T	21.046186038	80.218087541	287.3		
T	21.025294211	80.149587377	275.8		
T	21.004433262	80.081232391	270.7		
T	20.993996602	80.047079820	265.0		
T	20.983544342	79.979075335	253.9		
T	20.973090982	79.933691716	246.8		
T	20.952187470	79.865550856	235.1		
T	20.941718199	79.820240115	256.2		
T	20.920854333	79.752309127	253.5		
T	20.899954031	79.639564985	245.0		
T	20.889472692	79.583232259	239.6		
T	20.878959770	79.515723567	299.6		
T	20.868450715	79.459475120	291.5		
T	20.847602683	79.403179923	279.9		
T	20.847567468	79.369655388	280.6		
T	20.816220900	79.246284192	337.2		
T	20.805656350	79.156867501	322.8		
T	20.774408962	79.111788809	256.1		
T	20.753481766	79.011347058	232.8		
T	20.753437692	78.989110014	234.8		
T	20.742926082	78.922289511	226.8		
T	20.732304233	78.822203887	232.6		
T	20.732237394	78.799998525	245.6		
T	20.721745578	78.755492448	244.4		
T	20.711141805	78.666710304	253.5		
T	20.711042479	78.633478597	264.5		
T	20.710624315	78.511680874	257.7		
T	20.710218647	78.412093828	266.9		
T	20.699552693	78.323635877	271.0		
T	20.678616122	78.257262180	256.5		
T	20.646976167	78.113679463	292.2		
T	20.636315716	78.047489087	270.9		
T	20.625764775	77.992409183	271.1		
T	20.615045349	77.904339475	281.6		
T	20.593995487	77.827277112	296.5		
T	20.572723787	77.717286373	358.1		
T	20.572531259	77.684316345	371.7		
T	20.551660926	77.640380044	379.1		
T	20.551083669	77.541563916	366.4		
T	20.540429100	77.486693918	384.4		
T	20.519256943	77.398969675	380.9		
T	20.508584166	77.344162763	386.0		
T	20.498009321	77.300353617	359.4		
T	20.487140346	77.212734985	351.7		
T	20.476612210	77.179911593	352.5		
T	20.465611738	77.081387900	355.3		
T	20.465531292	77.070437539	355.9		
T	20.454643660	76.993847983	376.4		
T	20.454236781	76.939116654	347.9		
T	20.453725690	76.873443356	349.7		
T	20.453005859	76.785886845	346.7		
T	20.452437449	76.720225615	356.5		
T	20.441248561	76.621842577	431.2		
T	20.430235539	76.545365022	520.7		
T	20.429921869	76.512549161	543.9		
T	20.408670540	76.447148107	545.7		
T	20.387062205	76.348976843	600.1		
T	20.365605611	76.261766651	593.8		
T	20.365192713	76.218030013	612.0		
T	20.343886520	76.141760780	687.7		
T	20.343443637	76.098024671	623.1		
T	20.322083991	76.021777352	558.6		
T	20.300777305	75.956497147	587.2		
T	20.268945782	75.869521573	573.5		
T	20.247752438	75.815196941	579.7		
T	20.237084779	75.782574917	582.4		
T	20.236431140	75.727918956	587.1		
T	20.215466261	75.695482127	571.6		
T	20.204364021	75.630082784	613.0		
T	20.193943185	75.619338792	615.8		
T	20.172430616	75.543180324	617.7		
T	20.140634360	75.467207118	620.7		
T	20.119226910	75.401988614	633.0		
T	20.108074603	75.336569763	659.2		
T	20.097497004	75.314905529	660.8		
T	20.086613916	75.271369427	692.5		
T	20.064871149	75.184232983	838.1		
T	20.064288059	75.140408066	582.6		
T	20.042367509	75.042242711	547.1		
T	20.010779747	74.988095820	523.7		
T	19.989443146	74.933730329	525.5		
T	19.978498246	74.890138918	539.3		
T	19.936398885	74.825297533	552.7		
T	19.914651592	74.749014319	529.7		
T	19.904200910	74.738291432	522.9		
T	19.882945275	74.694909736	510.6		
T	19.861132682	74.618615653	500.4		
T	19.839839385	74.575240786	499.2		
T	19.818348324	74.520884466	496.9		
T	19.807327266	74.477197793	509.5		
T	19.796102534	74.422515670	527.3		
T	19.795318292	74.378583980	533.5		
T	19.773543172	74.313252385	558.7		
T	19.761614587	74.225645722	590.3		
T	19.739773646	74.160301742	620.6		
T	19.738277538	74.083326979	689.2		
T	19.727331816	74.050642885	737.8		
T	19.715713323	73.984955214	813.3		
T	19.704970983	73.963271461	828.0		
T	19.692856046	73.875562482	1081.2		
T	19.670720429	73.798851359	897.0		
T	19.648425285	73.710615168	637.8		
T	19.625612651	73.600094273	670.3		
T	19.614171164	73.544797207	389.4		
T	19.590208883	73.389802080	238.0		
T	19.568131043	73.323555790	179.7		
T	19.514306362	73.224797947	242.3		
T	19.502709677	73.169272972	57.5		
T	19.480758356	73.114108363	50.7		
T	19.448165718	73.048211054	121.4		
T	19.416081963	73.004645792	158.2		
T	19.415251322	72.971124163	108.1		
T	19.372514172	72.916753711	48.8		
T	19.331467420	72.929446834	25.0		
T	19.301334264	72.964032200	0.0		
T	19.271497381	73.009748173	2.1		
T	19.273189302	73.076656386	8.2		
T	19.253947726	73.133012592	16.6		
